age_group,style_preference,color_preference,shopping_frequency,recent_purchase,spending_category,shopping_occasion,interest,fit_preference,fabric_preference,season_shopping,gender,subcategory,article_type
35–44,Professional,Blue,Monthly,Sneakers,Outerwear,Events/Parties,Eco-friendly,Oversized,Blended,Winter,Unisex,Footwear,Casual Sneakers
45+,Professional,Grey,Rarely,Jeans,Accessories,Travel,Designer,Slim,Linen,Summer,Unisex,Accessories,Jeans
25–34,Trendy,Red,Weekly,Cap,Tops,Work,Value-for-money,Slim,Polyester,Summer,Women,Accessories,Cap
45+,Professional,Grey,Weekly,Shirt,Accessories,Work,Eco-friendly,Regular,Cotton,Summer,Unisex,Tops,Formal Shirt
45+,Casual,Blue,Weekly,Hoodie,Bottoms,Work,Trendy,Regular,Wool,All-season,Men,Tops,Hoodie
18–24,Sporty,Blue,Rarely,Shirt,Footwear,Sports/Fitness,Trendy,Slim,Cotton,Summer,Men,Footwear,Shirt
25–34,Trendy,Grey,Weekly,Shirt,Bottoms,Casual Outings,Comfort,Regular,Polyester,All-season,Unisex,Tops,Shirt
25–34,Sporty,Black,Rarely,Shirt,Tops,Events/Parties,Value-for-money,Slim,Blended,All-season,Men,Tops,Shirt
25–34,Professional,White,Monthly,Cap,Outerwear,Travel,Eco-friendly,Oversized,Blended,Winter,Unisex,Accessories,Cap
45+,Professional,Bright,Every 2–3 months,Shirt,Accessories,Travel,Trendy,Regular,Blended,Winter,Unisex,Tops,Shirt
35–44,Trendy,Black,Weekly,Jacket,Footwear,Sports/Fitness,Value-for-money,Slim,Wool,Winter,Unisex,Footwear,Jacket
25–34,Casual,Black,Weekly,Cap,Accessories,Work,Comfort,Regular,Linen,Winter,Men,Accessories,Cap
45+,Classic,Neutral,Monthly,Jacket,Tops,Sports/Fitness,Designer,Slim,Linen,Winter,Unisex,Outerwear,Jacket
18–24,Trendy,Bright,Every 2–3 months,Cap,Accessories,Casual Outings,Value-for-money,Slim,Cotton,All-season,Women,Tops,Cap
35–44,Classic,Bright,Rarely,Jeans,Footwear,Casual Outings,Value-for-money,Regular,Wool,All-season,Unisex,Footwear,Jeans
18–24,Classic,Black,Every 2–3 months,T-shirt,Tops,Events/Parties,Designer,Oversized,Blended,Summer,Unisex,Tops,Plain Cotton T-shirt
35–44,Casual,Red,Monthly,Sneakers,Accessories,Events/Parties,Value-for-money,Slim,Blended,All-season,Unisex,Footwear,Casual Sneakers
45+,Classic,Neutral,Monthly,Shirt,Outerwear,Casual Outings,Comfort,Slim,Polyester,All-season,Unisex,Tops,Shirt
Under 18,Classic,Neutral,Every 2–3 months,Jeans,Tops,Casual Outings,Comfort,Slim,Polyester,Winter,Unisex,Tops,Jeans
35–44,Casual,Blue,Rarely,T-shirt,Tops,Casual Outings,Designer,Oversized,Blended,All-season,Unisex,Tops,Plain Cotton T-shirt
18–24,Classic,Bright,Rarely,Sneakers,Outerwear,Sports/Fitness,Eco-friendly,Oversized,Blended,Winter,Unisex,Footwear,Running Sneakers
45+,Classic,Black,Weekly,Watch,Bottoms,Casual Outings,Trendy,Regular,Wool,Summer,Unisex,Tops,Analog Watch
35–44,Classic,Blue,Rarely,Hoodie,Footwear,Travel,Eco-friendly,Oversized,Linen,Summer,Unisex,Footwear,Hoodie
Under 18,Trendy,Grey,Every 2–3 months,Jacket,Bottoms,Work,Value-for-money,Regular,Polyester,All-season,Unisex,Outerwear,Jacket
Under 18,Trendy,White,Monthly,Watch,Accessories,Casual Outings,Trendy,Regular,Linen,Summer,Unisex,Tops,Smartwatch
25–34,Trendy,Neutral,Weekly,Cap,Outerwear,Work,Designer,Oversized,Wool,All-season,Unisex,Accessories,Cap
25–34,Casual,Grey,Weekly,Sneakers,Bottoms,Sports/Fitness,Designer,Regular,Blended,Summer,Unisex,Footwear,Running Sneakers
18–24,Professional,Grey,Monthly,Watch,Tops,Work,Trendy,Oversized,Linen,Winter,Unisex,Accessories,Formal Shirt
35–44,Classic,Red,Rarely,Hoodie,Accessories,Sports/Fitness,Comfort,Regular,Blended,Winter,Unisex,Tops,Hoodie
35–44,Classic,White,Monthly,Jeans,Accessories,Travel,Trendy,Oversized,Blended,Winter,Unisex,Accessories,Jeans
25–34,Casual,Grey,Rarely,Sneakers,Bottoms,Sports/Fitness,Value-for-money,Oversized,Cotton,Winter,Unisex,Footwear,Running Sneakers
35–44,Classic,Grey,Monthly,Watch,Bottoms,Sports/Fitness,Comfort,Regular,Linen,All-season,Unisex,Bottoms,Analog Watch
35–44,Trendy,White,Every 2–3 months,Jacket,Outerwear,Events/Parties,Designer,Slim,Linen,Summer,Unisex,Outerwear,Jacket
Under 18,Professional,White,Rarely,Jacket,Footwear,Casual Outings,Trendy,Regular,Blended,All-season,Unisex,Footwear,Jacket
25–34,Sporty,Grey,Every 2–3 months,T-shirt,Bottoms,Casual Outings,Eco-friendly,Oversized,Wool,Winter,Unisex,Tops,Plain Cotton T-shirt
45+,Classic,White,Weekly,Watch,Bottoms,Travel,Eco-friendly,Slim,Cotton,All-season,Unisex,Accessories,Analog Watch
25–34,Trendy,Grey,Monthly,Shirt,Tops,Travel,Value-for-money,Regular,Blended,Summer,Unisex,Tops,Shirt
45+,Sporty,Grey,Weekly,Watch,Accessories,Casual Outings,Eco-friendly,Regular,Polyester,All-season,Unisex,Tops,Smartwatch
Under 18,Professional,Red,Weekly,Jeans,Footwear,Events/Parties,Trendy,Regular,Polyester,Summer,Unisex,Footwear,Jeans
18–24,Sporty,Black,Weekly,Sneakers,Tops,Casual Outings,Trendy,Slim,Cotton,All-season,Men,Footwear,Casual Sneakers
